Michael Iskandardinata,michael@email.com,0811232003
Adriel Ichwan,adriel@email.com,0811232006
Jason Daniel Tanuarta,jason@email.com,0811232017
Jonathan Maverick,jonathan@email.com,0811232025
Adrian Yu,adrian@email.com,0811232026
Axel Kurniawan,axel@email.com,0811232033
Cindy Clarissa Tanoto,cindy@email.com,0811232037
Daniel Kurniawan,daniel@email.com,0811232038
Frederick Yonathan Ehowu Mendrofa,frederick@email.com,0811232039
Daniel Adamlu,daniel_a@email.com,0811232047
Jackson,jackson@email.com,0811232049
Hendra Hartanto,hendra@email.com,0811232051
William Christian,william@email.com,0811232061
Marvino Fransisco,marvino@email.com,0811232065
Vincent Ramaputra,vincent@email.com,0811232066
Abel Kristanto,abel@email.com,0811232077
Ricky Wijaya,ricky@email.com,0811232153
